"debut";"fin";"Aquitaine";"Austrasie";"Bourgogne";"Neustrie";"Provence";"autres";"ecclesiastiques";"nobles"
"297";585;585;0;0;1;0;0;0;1;0
"298";533;545;0;0;0;1;0;1;0;0
"299";549;549;1;0;0;0;0;0;1;0
"300";585;585;0;0;1;0;0;0;1;0
"301";NA;567;1;0;0;0;0;1;0;0
"302";475;494;0;0;0;0;1;1;0;0
"303";549;554;0;0;0;0;1;1;0;0
"304";563;573;0;0;1;0;0;0;1;0
"305";580;590;1;0;0;0;0;0;1;0
"306";614;614;1;0;0;0;0;1;0;0
"307";561;570;0;0;1;0;0;1;0;0
"308";541;541;0;0;0;1;0;0;1;0
"309";538;538;0;0;0;1;0;0;1;0
"310";569;572;0;0;0;1;0;1;0;0
"311";NA;NA;0;0;0;0;0;0;0;0
"312";524;546;0;0;1;0;0;1;0;0
"314";555;614;1;0;0;0;0;0;1;0
"315";585;585;0;0;1;0;0;0;1;0
"316";549;554;0;0;0;1;0;1;0;0
"317";549;549;1;0;0;0;0;1;0;0
"318";532;534;1;0;0;0;0;0;0;1
"319";NA;NA;0;0;0;0;0;0;0;0
"320";541;554;0;0;0;0;1;0;1;0
"321";614;614;0;0;0;1;0;1;0;0
"322";NA;NA;0;0;0;0;0;0;0;0
"323";NA;NA;0;0;0;0;0;0;0;0
"325";614;614;0;0;0;1;0;1;0;0
"326";614;614;0;1;0;0;0;1;0;0
"327";611;614;0;0;1;0;0;0;1;0
"328";540;540;0;0;0;1;0;1;0;0
"329";570;585;1;0;0;0;0;1;0;0
"330";575;576;1;0;0;0;0;0;1;0
"331";589;589;0;0;0;1;0;0;1;0
"332";580;580;0;0;0;1;0;0;1;0
"333";NA;NA;0;0;0;0;0;0;0;0
"334";566;566;1;0;0;0;0;0;0;1
"335";480;480;0;0;0;1;0;0;1;0
"336";575;575;0;0;1;0;0;1;0;0
"337";NA;NA;0;0;0;0;0;0;0;0
"338";614;614;0;1;0;0;0;1;0;0
"339";581;585;1;0;0;0;0;0;0;1
"340";NA;585;0;0;1;0;0;1;0;0
"341";586;587;0;0;0;1;0;1;0;0
"342";561;565;0;0;0;0;1;0;0;1
"343";580;584;0;0;0;1;0;0;0;1
"344";588;595;0;0;0;1;0;1;0;0
"345";506;511;1;0;0;0;0;1;0;0
"346";583;604;0;0;0;0;1;1;0;0
"347";561;575;0;1;0;0;0;1;0;0
"348";573;580;0;0;0;1;0;0;1;0
"349";534;538;1;0;0;0;0;0;1;0
"350";550;555;1;0;0;0;0;0;0;1
"351";517;517;0;0;1;0;0;1;0;0
"352";539;554;0;1;0;0;0;0;0;1
"353";588;588;0;1;0;0;0;0;1;0
"354";NA;NA;0;0;0;0;0;0;0;0
"355";NA;NA;0;0;0;0;0;0;0;0
"356";570;570;0;0;1;0;0;1;0;0
"357";507;512;0;0;0;0;1;0;1;0
"358";512;525;0;0;0;0;1;0;1;0
"359";NA;NA;0;0;0;0;0;0;0;0
"360";488;491;0;0;1;0;0;1;0;0
"361";NA;NA;0;0;0;0;0;0;0;0
"362";570;570;0;0;1;0;0;0;1;0
"363";585;585;0;0;1;0;0;0;1;0
"364";479;511;0;0;1;0;0;1;0;0
"365";517;517;0;0;1;0;0;0;1;0
"366";595;601;0;0;0;0;1;0;1;0
"368";500;505;1;0;0;0;0;0;1;0
"369";609;613;1;0;0;0;0;1;0;0
"370";540;570;0;1;0;0;0;1;0;0
"371";NA;584;0;0;1;0;0;1;0;0
"372";NA;NA;0;0;0;0;0;0;0;0
"373";541;541;1;0;0;0;0;1;0;0
"374";524;524;0;0;0;0;1;0;1;0
"375";552;573;0;0;1;0;0;0;1;0
"376";501;511;1;0;0;0;0;1;0;0
"377";517;517;0;0;0;0;1;1;0;0
"378";585;585;0;0;0;0;1;1;0;0
"379";592;592;0;0;1;0;0;0;1;0
"380";NA;525;1;0;0;0;0;0;1;0
"381";549;549;0;0;1;0;0;0;1;0
"382";561;570;0;0;1;0;0;1;0;0
"383";475;499;0;0;1;0;0;1;0;0
"384";614;614;0;0;0;1;0;1;0;0
"385";NA;NA;0;0;0;0;0;0;0;0
"386";610;610;0;0;0;1;0;1;0;0
"387";610;610;0;0;1;0;0;0;1;0
"388";608;610;0;0;0;1;0;1;0;0
"389";549;552;0;0;0;1;0;0;1;0
"390";NA;575;0;1;0;0;0;0;0;1
"391";614;614;0;0;0;1;0;1;0;0
"392";NA;NA;0;0;0;0;0;0;0;0
"394";561;567;0;0;0;1;0;0;0;1
"395";NA;556;0;0;0;1;0;1;0;0
"396";561;575;0;1;0;0;0;1;0;0
"397";575;588;0;1;0;0;0;1;0;0
"398";NA;NA;0;0;0;0;0;0;0;0
"400";582;585;1;0;0;0;0;1;0;0
"401";590;590;0;1;0;0;0;0;0;1
"402";NA;NA;0;0;0;0;0;0;0;0
"403";511;558;0;0;0;1;0;0;0;1
"404";NA;NA;0;0;0;0;0;0;0;0
